Flow_ls,Head_m
0.001071141,243.5295076
30.91526738,243.5295076
62.46143672,243.2190153
94.64172145,241.9770458
117.991521,240.1140917
126.1953888,239.493107
133.1374527,238.8721222
135.6621317,238.5616299
147.6546247,237.0091681
157.7533407,235.7671986
162.8037698,234.8357216
179.846692,232.3517827
188.6846752,230.7993209
192.4722292,230.1783362
220.250125,224.899966
229.0891794,223.0370119
234.7715816,221.7950424
263.8134236,215.8956876
273.9153531,213.7222411
276.7565542,213.1012564
284.0183536,211.2383022
304.8552567,206.2704244
326.9582482,200.0605772
347.169605,193.5402377
362.013475,188.4171138
378.1212912,182.6730051
406.5461561,172.7372496
413.4925045,170.8742954
441.6072742,159.3860781
451.3991083,155.6601698
473.5208448,144.0167063
483.0020481,138.8935823
